Mensagem,Tópico,Subtópico
temos uma resosta do o3 que foi satisfatória  https://chatgpt.com/share/67b1739a-7e34-8004-be5b-6867f2afaa03  ampiei a pesquisa para busca de mais 10 precedentes.,Ferramentas e Plataformas,LLMs e Modelos
‎IMG-20250216-WA0001.jpg (arquivo anexado),Ferramentas e Plataformas,
‎IMG-20250216-WA0000.jpg (arquivo anexado),Ferramentas e Plataformas,
"IMPORTANTE!!!  Se os resultados forem consistentes, já temos uma maneira de treinar um modelo pequeno em todos os precedentes do STJ e STF",Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
perdão pelo erro de digitação em acórdão 🤪,Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
‎IMG-20250216-WA0002.jpg (arquivo anexado),Aplicações Jurídicas Práticas,
Usou até FIRAC,Aplicações Jurídicas Práticas,
Pessoal PODEM COMPARTILHAR AS NOTAS.  Agora já temos a identidade visual.,Ferramentas e Plataformas,Obsidian
A jurisprudência brasileira sobre a incidência do princípio da insignificância aos crimes tributários federais e de descaminho é um tema relevante e complexo.,Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
Esse eu fiz a pesquisa pelo meta <Mensagem editada>,Aplicações Jurídicas Práticas,
‎PTT-20250216-WA0003.opus (arquivo anexado),Aplicações Jurídicas Práticas,
‎PTT-20250216-WA0004.opus (arquivo anexado),Aplicações Jurídicas Práticas,
‎IMG-20250216-WA0006.jpg (arquivo anexado),Aplicações Jurídicas Práticas,
‎PTT-20250216-WA0005.opus (arquivo anexado),Aplicações Jurídicas Práticas,
‎PTT-20250216-WA0007.opus (arquivo anexado),Aplicações Jurídicas Práticas,
‎PTT-20250216-WA0008.opus (arquivo anexado),Aplicações Jurídicas Práticas,
"Como hoje estou sem internet - 😕  Hell de Janeiro e roubo de cabos - decidi aproveitar para por a prova o que construimos até agora. Como tenho uma audiência amanhã, tenho hábito de reler roteiros e estratégias.  Porque não testar uma novidades?",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Ficou muito bom,Conceitos Técnicos e Fundamentos de IA,
vai melhorar,Conceitos Técnicos e Fundamentos de IA,
Ficou muito bom!,Conceitos Técnicos e Fundamentos de IA,
"Agora vou tentar criar uma rotina com agente para coleta de todos os precedentes relacinados ao tema e fazer uma análise FIRAC, depois Classificação Decimal do Direito.  Será que vai dar conta disso?",Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
‎IMG-20250217-WA0001.jpg (arquivo anexado),Aplicações Jurídicas Práticas,
Funcionou?,Aplicações Jurídicas Práticas,
https://share.note.sx/ju2ouq5y,Aplicações Jurídicas Práticas,
Fiquei assustado com o resultado,Aplicações Jurídicas Práticas,
Talvez estejamos no caminho certo. Me digam aí,Aplicações Jurídicas Práticas,
‎PTT-20250217-WA0002.opus (arquivo anexado),Aplicações Jurídicas Práticas,
" Pessoal, eu da minha parte vou fazer o seguinte, eu vou ler isso aí com mais calma, porque se é isso mesmo, talvez eu vá mandar uma cópia desse trabalho aí para o pessoal lá do sistema do STJ, porque se a gente aumentou em 92% a acurácia da pesquisa e reduziu em quase 50% o tempo de pesquisa, a gente fez um achado aí. Na verdade, o grande ganho está no trabalho da biblioteconomia, do trabalho que a autora fez de adaptação do Código Decimal do Direito, que eu já usava aqui. Na verdade, ele faz uma classificação da natureza jurídica anterior. Eu já uso isso aqui nas minhas pesquisas. Manualmente, isso é tedioso, um trabalho muito difícil de fazer, mas para uma máquina é muito fácil ele fez alguns aí e integrou isso a classificação da natureza jurídica depois a decomposi de fatos que o FIRAC e me parece que se for confirmado mesmo se isso a for duplic que a gente chegou a um algoritmo interessante para ajudar na pesquisa Muito bom, eu gostei, inclusive porque me trouxe aí uma atualização da quantidade de precedentes repetitivos, estatística e depois é só confirmar aí. Eu vou aproveitar os códigos que estão aí, assim que a minha internet voltar, que eu estou fazendo isso tudo do celular e vou avaliar aqui, porque eu já estou fazendo o código, vamos ver como é que fica. Eu vou precisar de um data lake, alguma coisa assim, já é um trabalho de mais rua. Talvez mesmo vá precisar mandar para o pessoal lá do TI, do STJ. Não sei nem se eles vão levar a sério isso aí, mas me parece bastante promissor. Quem puder comentar, eu agradeço, porque eu vou precisar de ajuda nisso aí. Vou precisar de ajuda. Vou preparar minhas audiências aqui e as peças que eu tenho que fazer, mas me pareceu bem interessante. O que vocês acham?",Ferramentas e Plataformas,Código e Bibliotecas
"Puxa povo, eu tô perdida nesse negócio todo rsrs🥹",Ferramentas e Plataformas,
Acho que tenho que voltar para o módulo basic,Ferramentas e Plataformas,
"Não se preocupe Erica.  Primeiro a gente faz o gato pegar o rato, depois a gente escolhe a cor.  Vai ficar tudo bem simples.",Ferramentas e Plataformas,
"Gostaria de dar uma sugestão de tema que fosse mais próximo daquilo que são suas preocupações?  Por favor, fique a vontade.  Essa última discussão derivou de um pedido de um amigo.  O que estamos fazendo é leva-lo às últimas consequencias, testar tudo e depois fazer uma abstração.  O que significa que vamos simplificar tudo e preparar todo mundo para nivelarmos o conhecimento.",Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos
"Em palavras bem simples, o plano é o seguinte:  !. Vamos rodar os melhores modelos localmente e gratuitamente; 2. Vamos encontrar um caminho para fazer isso com o menor custo possível; 3. Vamos empacotar tudo isso e criar os treinamentos para difundir para os advogados, juízes, amigos e quem quizer participar.  Por que? Porque não?",Código Aberto e Custo,Custo e Viabilidade Econômica
"perdoem a gramática dos ""porquês""",Código Aberto e Custo,
Concordo com a Erica. Eu achava que possuía um certo conhecimento.,Conceitos Técnicos e Fundamentos de IA,"Raciocínio, Lógica e Semântica"
Não desista,Conceitos Técnicos e Fundamentos de IA,
Foi a minha primeira sensação também,Conceitos Técnicos e Fundamentos de IA,
Mas depois usei como combustível essa sensação,Conceitos Técnicos e Fundamentos de IA,
Pra aprender mais,Conceitos Técnicos e Fundamentos de IA,
"É muito difícil acompanhar o seu conhecimento em IA, Luis.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Estamos bem acompanhados.  Temos uma galera que nos orienta.  Estou agorinha vendo o Chuck realizando um sonho do que podemos realizar por aqui.  https://youtu.be/Ju0ndy2kwlw?si=m0cKOpz-XbZlJ9xs,Conceitos Técnicos e Fundamentos de IA,
"Como eu falei aqui, abrirei a comissão de IA na minha subseção e no estado de Mato Grosso",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Seja o nosso Mestre. Até porque está difícil de acompanhar algumas situações…,Conceitos Técnicos e Fundamentos de IA,
"Então preciso subir degraus, e aqui é o caminho",Conceitos Técnicos e Fundamentos de IA,
"Baixei o Ollama, baixei o DeepSeek, mas a máquina me avisou que deveria baixar biblioteca e outros paranauês. Daí buguei.",Ferramentas e Plataformas,LLMs e Modelos
"Puxa, quanta gentileza. Todos somos mestres uns dos outros.  Na verdade só estou me empenhando nas dúvidas que todos tem apresentado.",Ferramentas e Plataformas,
Não é gentileza. É puro reconhecimento e respeito.,Conceitos Técnicos e Fundamentos de IA,"Raciocínio, Lógica e Semântica"
Mas você é diferenciado mesmo,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
E eu achava que eu era 🤣🤌,Conceitos Técnicos e Fundamentos de IA,
Isso é gratificante,Conceitos Técnicos e Fundamentos de IA,
Concordo ☝🏻,Conceitos Técnicos e Fundamentos de IA,
"Excelente!!!! Estou vibrando aqui.   É assim mesmo. Eu tenho aqui uma solução se chama Groq com ""Q""",Conceitos Técnicos e Fundamentos de IA,
"ontem foi anunciado um financiamento a empresa da ordem de 1,5 bi da Arábia Saudita (BRICS - NOSSO AMIGO) que investe em uma tecnologia diferente para processamento.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Eu tenho “medo” do Python… rs,Ferramentas e Plataformas,Código e Bibliotecas
Tem que ter um pouquinho de cautela mesmo. Mas seguindo alguns cuidados não vai quebrar o sistema.,Interdisciplinaridade e Fundamentos Teóricos,Informática e Tecnologia
Que legal,Interdisciplinaridade e Fundamentos Teóricos,
"Eu quero aprender,  mas quero a parte um pouco mais mastigada 🤣🤣🤌 Estou tendo que abrir uma comissão de IA onde ninguém sabe sobre o tema e eu preciso estruturar todo o projeto",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Vou chamar o Luiz pra ajudar e todos vocês pra darem ideias 🤣,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Meu parto é jurisprudência,Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
Caramba. Vou tentando resolver sem conhecimento específico. É muito diferente do conhecimento em informática como usuários.,Conceitos Técnicos e Fundamentos de IA,"Raciocínio, Lógica e Semântica"
É o problema majoritário pra todos provavelmente,Conceitos Técnicos e Fundamentos de IA,
O grande lance seria fornecermos os informativos de jurisprudência e a IA fazer as pesquisas de acórdãos e precedentes de acordo com os nossos interesses.,Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
<think>,Aplicações Jurídicas Práticas,
É o caminho que fazem normalmente mesmo,Aplicações Jurídicas Práticas,
Ainda sobre aquela questão da FIRAC?,Aplicações Jurídicas Práticas,
Ou trabalharmos com pesquisas específicas nos sites dos tribunais por meio de scraping etc. (Se não estiver enganado),Ferramentas e Plataformas,Código e Bibliotecas
vou formatar a nota para documentar isso.,Ferramentas e Plataformas,
Que comentamos,Ferramentas e Plataformas,
agora estamos quebrando o que nos empaca. A dificuldade com os termos de informática e a tecnicalidade toda.,Interdisciplinaridade e Fundamentos Teóricos,Informática e Tecnologia
‎STK-20250217-WA0003.webp (arquivo anexado),Interdisciplinaridade e Fundamentos Teóricos,
Perfeito. O meu problema é a falta de conhecimento em programação: isso dificulta muito.,Conceitos Técnicos e Fundamentos de IA,"Raciocínio, Lógica e Semântica"
https://share.note.sx/f0ulybwl  Veja Erica. Você vai poder fazer as perguntas e pedir que a inteligência artificial organize a explicação com metáforas e de maneira que você entenda,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
A integração que conseguiram com o Obsidian tem sido sensacional 👏,Ferramentas e Plataformas,Obsidian
Perdi essa parte,Ferramentas e Plataformas,
Obsidian é meu terror 🤣,Ferramentas e Plataformas,Obsidian
Tô tentando compreender. Já consegui integrá-lo ao DeepSeek. O carro já tenho. Só falta saber dirigir 🤣,Ferramentas e Plataformas,LLMs e Modelos
Kkkkkkkk,Ferramentas e Plataformas,
Quando foi que rolou essa aula de integrar com o deepseek?,Ferramentas e Plataformas,LLMs e Modelos
Sensacional!,Ferramentas e Plataformas,
Tem vídeo.,Ferramentas e Plataformas,
Aqui?,Ferramentas e Plataformas,
Sim 👍🏻,Ferramentas e Plataformas,
Vamos fazer juntos,Ferramentas e Plataformas,
"Bora, quando?",Ferramentas e Plataformas,
‎IMG-20250218-WA0001.jpg (arquivo anexado),Ferramentas e Plataformas,
Eu já consegui integrar. Agora preciso aprender a operar para tentar gerar os relatórios que o Luiz tem gerado. Ou parecidos.,Aplicações Jurídicas Práticas,Documentos Jurídicos e Peças Processuais
Ficarei no aguardo,Aplicações Jurídicas Práticas,
Estou montando um repositório só com prompts personalizados,Aplicações Jurídicas Práticas,
Eu tinha feito na época com o chatgpt,Ferramentas e Plataformas,LLMs e Modelos
"Meu Deus! Olha aí, Erica, o esculacho 😂",Ferramentas e Plataformas,
é onde testei muitas coisas intensivamente,Ferramentas e Plataformas,
Fabric é outro nível,Ferramentas e Plataformas,
É muito bom ter o conhecimento que os colegas têm… Mas estou milhares de quilômetros atrás…,Conceitos Técnicos e Fundamentos de IA,"Raciocínio, Lógica e Semântica"
Deixa disso,Conceitos Técnicos e Fundamentos de IA,
"Bora fazer uma sessão no Zoom? @5521993912150, Pode ajudar com isso?",Conceitos Técnicos e Fundamentos de IA,
Amanhã?,Conceitos Técnicos e Fundamentos de IA,
Eu tenho Zoom. Quantas pessoas seriam e em qual horário?,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
O nosso grupo tem 28. Cabem todos no meu plano.,Conceitos Técnicos e Fundamentos de IA,
Sensacional.,Conceitos Técnicos e Fundamentos de IA,
Então bora pra cima,Conceitos Técnicos e Fundamentos de IA,
Quem gostaria de pedir submeter o texto a seguir em um chat e ver o resultado?,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Posso colocar em qualquer IA o prompt?,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Use sua inituição. Experimente!,Conceitos Técnicos e Fundamentos de IA,
"import React, { useState } from 'react';",Conceitos Técnicos e Fundamentos de IA,
Claude no celular,Ferramentas e Plataformas,LLMs e Modelos
Vou tentar aqui,Ferramentas e Plataformas,
DeepSeek:,Ferramentas e Plataformas,LLMs e Modelos
"O código que você forneceu é um componente React que implementa um sistema de votação usando o **Método de Borda**. Esse método é um sistema de votação em que os eleitores classificam as opções em ordem de preferência, e cada posição recebe uma pontuação específica. No seu caso, a pontuação é a seguinte:",Ferramentas e Plataformas,Código e Bibliotecas
pessa a ele para implementar.  ou dar soluções mais simples,Ferramentas e Plataformas,Geral
Por exemplo:,Ferramentas e Plataformas,
Sensacional,Ferramentas e Plataformas,
"Olha, segui aqui o readme da solução e vamos ver se funciona",Ferramentas e Plataformas,
"Pensar de traz para frente é uma dica que dou.  Quando pedir a uma AI para fazer algo, peça que lhe dê um manual de como usar.  Depois peça que implemente e dê um README.",Ferramentas e Plataformas,
Será que esse negócio funciona?,Ferramentas e Plataformas,
kkkk famosa engenharia reversa,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Acabei de registrar o meu voto.,Conceitos Técnicos e Fundamentos de IA,
‎IMG-20250217-WA0005.jpg (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
Tanta coisa…,Conceitos Técnicos e Fundamentos de IA,
"É divertido.  Foi a única coisa que me fez relaxar no calor de 45 graus, sem internet hoje",Conceitos Técnicos e Fundamentos de IA,
xo votar,Conceitos Técnicos e Fundamentos de IA,
votei,Conceitos Técnicos e Fundamentos de IA,
Eu também.  Mas assim fica sem graça.  As opções não dão divergência para resolver.  Vamos esperar mais votos do pessoal para testar esse aplciativo.  Mas vamos fazer sim.,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
‎PTT-20250217-WA0004.opus (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
‎IMG-20250218-WA0000.jpg (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
"Bom dia, Luiz. Não me deve nada. Eu só fiz 2 testes com o Claude e o DeepSeek.",Ferramentas e Plataformas,LLMs e Modelos
Mas uma das respostas levou a outra pesquisa que destravou um projeto aqui.,Ferramentas e Plataformas,
"Bom dia, colegas. Gostaria de consultá-los sobre algumas ideias que tive ontem.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"Em razão das interações de ontem, e dos resultados fantásticos que o nosso colega @5521969191621  tem obtido em seus projetos, me animei e passei a refletir em projetos que entendo muito importantes para a Advocacia, a saber:",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
‎IMG-20250219-WA0004.jpg (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
*Usei o modelo do flash thinking para fazer o sumário da denúncia do Golpe de Estado*,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Prompt para o perplexity no modo deepresarch:,Ferramentas e Plataformas,LLMs e Modelos
‎IMG-20250219-WA0010.jpg (arquivo anexado),Ferramentas e Plataformas,
É a primeira vez que a pesquisa do perplexity falha,Ferramentas e Plataformas,LLMs e Modelos
‎IMG-20250219-WA0012.jpg (arquivo anexado),Ferramentas e Plataformas,
‎IMG-20250219-WA0016.jpg (arquivo anexado),Ferramentas e Plataformas,
o segundo ponto da pra fazer com analise preditiva,Ferramentas e Plataformas,
https://drive.google.com/file/d/1v-prA3KICcoqXSZClQ_ewFDJaxyTU0hR/view?usp=drivesdk,Ferramentas e Plataformas,Código e Bibliotecas
‎IMG-20250219-WA0021.jpg (arquivo anexado),Ferramentas e Plataformas,
"Embora a Ai tenha acesso ao Github e o tenha citado, por hora o acesso está restrito até que tenhamos toda documentação organizada. Já estou trablanhando nisso",Ferramentas e Plataformas,
Vixi… Agora a coisa ficou séria 🧐,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
https://youtu.be/TuiPnNZ-gMA?si=_xk6mnGEXloV0MuO,Conceitos Técnicos e Fundamentos de IA,
‎IMG-20250220-WA0013.jpg (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
‎IMG-20250220-WA0014.jpg (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
Bem-vindos(as),Conceitos Técnicos e Fundamentos de IA,
"@558181252689+55 81 8125-2689 Wesley, o prompt inicial no aistudio está lá na nota se quiser ver.  Na introdução tem o link para todos os chats",Aplicações Jurídicas Práticas,Documentos Jurídicos e Peças Processuais
Se quiser acesso a todo o notebook é só falar que abro,Aplicações Jurídicas Práticas,
Saudações! Prof. Willian Meister - Itapema / SC.,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Recebi o estudo realizado por este grupo e fiquei bastante interessado sobre quem são vocês. Tenho me interessado bastante no uso das inteligências regenerativas como ferramentas para um salto de qualidade e profundidade nas pesquisas científicas.,Ferramentas e Plataformas,Geral
Estou disponível para contribuir com os debates por aqui a partir de meus ainda muito superficiais conhecimentos.,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"Bem-vindo Professor, é um prazer tê-lo conosco.  Vou iniciar uma pesquisa nova agora. Se quiser participar fazendo em paralelo para compararmos os resultados com várias llms, já fica a primeira sugestão.  Vale para todo o pessoal.",Ferramentas e Plataformas,LLMs e Modelos
"Realize uma pesquisa jurídico-dogmática **exaustiva e crítica** sobre a **Formação de Precedente Qualificado no Brasil**, com foco nas Cortes Superiores (STF e STJ), seguindo este roteiro analítico:",Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
quando o meu resultado ficar pronto posto aqui.,Aplicações Jurídicas Práticas,
Estou fazendo análise preditiva de julgados e isso tem me interessado bastante,Aplicações Jurídicas Práticas,
Aprofundar mais ainda,Aplicações Jurídicas Práticas,
Pois os resultados são excelentes,Aplicações Jurídicas Práticas,
Estou quase terminando aqui e fiz uma crítica ao resultado pedindo uma complementação do que faltou apreciar na primeira rodada. Agora estou colocando as citações em ordem para garantir a consistência e renumerando as citações no formato ABNT.  Provavelmente teremos um bom material para reformular os prompts de pesquisa de jurisprudência.,Ferramentas e Plataformas,Zotero
vamos ler juntos.  Ainda não avaliei,Ferramentas e Plataformas,
‎Formação de Precedente Qualificado no Brasil_Uma Análise Jurídico-Dogmática nas Cortes Superiores.pdf (arquivo anexado),Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
Sensacional!,Aplicações Jurídicas Práticas,
ainda preciso mudar o modelo de geração. mas já aprendi a fazer isso,Aplicações Jurídicas Práticas,
Para mais detalhes sobre o processo de iteração para gerar essa pesquisa acesse o gráfico,Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos
https://youtu.be/wjZofJX0v4M?si=28f0behlWxWwMG55,Aplicações Jurídicas Práticas,
‎IMG-20250221-WA0000.jpg (arquivo anexado),Aplicações Jurídicas Práticas,
"MoE, a ideia central por traz da rede neural e dos transformes",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
Quando você entende,Conceitos Técnicos e Fundamentos de IA,
Tudo muda,Conceitos Técnicos e Fundamentos de IA,
"Esses vídeos são sensacionais, são parte de um curso de matemática que consegui aqui. Estou estudando para entender as notações matemáticas e a aplicação dos problemas matemáticos na interpretação de argumentação.",Interdisciplinaridade e Fundamentos Teóricos,Matemática e Estatística
a última de hoje é uma plataforma que vou compartilhar com vocês para usarem gratuitametne o deepseek R1 (SEM SENSURA),Ferramentas e Plataformas,Geral
https://labs.perplexity.ai,Ferramentas e Plataformas,LLMs e Modelos
Deep search do perplexity tá topzera,Ferramentas e Plataformas,LLMs e Modelos
"E a sessão do zoom, vai rolar amanhã?",Ferramentas e Plataformas,
Qual horário?,Ferramentas e Plataformas,
ué? 10 horas,Ferramentas e Plataformas,
quem vai disponibilizar a sala?,Ferramentas e Plataformas,
Não consigo acompanhar o grupo 100%🤣,Ferramentas e Plataformas,
Teve um rapaz que falou que ia anteontem,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
quem foi? Vamos esperar. Vou tentar um amigo aqui também,Conceitos Técnicos e Fundamentos de IA,
Me informem o horário e forneço o link para quem quiser ou puder participar.,Conceitos Técnicos e Fundamentos de IA,
"@5521969191621 Eu gostaria de incluir no grupo o Prof. Fernando Aguillar de SP, idealizador de um sistema de gamificação jurídica na educação e que poderá contribuir com a gente.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
‎Aguillar.vcf (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
"Poderia fazer a inclusão dele, por favor?",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
‎PTT-20250221-WA0001.opus (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
‎PTT-20250221-WA0004.opus (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
"Já enviei o convite. Por favor, faça contato com o Professor novamente para confirmar.",Código Aberto e Custo,Custo e Viabilidade Econômica
Obrigado!,Código Aberto e Custo,
@5521969191621 Quais plugins do Obsidian você recomenda?,Ferramentas e Plataformas,Obsidian
‎IMG-20250221-WA0008.jpg (arquivo anexado),Ferramentas e Plataformas,
Obrigado.,Ferramentas e Plataformas,
"use um de cada vez, senão vai dar um nó na cabeça",Ferramentas e Plataformas,
Deus me ajude.,Ferramentas e Plataformas,
"comece do simples.  Por exemplo, vou te mandar uma nota do obsidian que estou criando aqui para você fazer um exercício com AI, a medida que for fazendo o exercício e tiver dúvidas crie outra nota e insira um link.",Ferramentas e Plataformas,Obsidian
Beleza. Obrigado.,Ferramentas e Plataformas,
‎IMG-20250221-WA0009.jpg (arquivo anexado),Ferramentas e Plataformas,
Olá! Como abre a nota no obsidian?,Ferramentas e Plataformas,Obsidian
abre o link que enviei com a nota inicial copia e cola no obsidian,Ferramentas e Plataformas,Obsidian
@5511996888062 já conseguiu fazer isso.  Será que ele pode te ajudar?,Ferramentas e Plataformas,
Eu tenho aqui o primeiro exemplo de resposta.  Claro que fiz o desafio também.  https://share.note.sx/xmi1tnrq,Ferramentas e Plataformas,
Abra a pasta do cofre e copie para lá,Ferramentas e Plataformas,
Isso,Ferramentas e Plataformas,
Copio o link? Vou tentar,Ferramentas e Plataformas,
‎PTT-20250221-WA0011.opus (arquivo anexado),Ferramentas e Plataformas,
"Não Rodrigo,",Ferramentas e Plataformas,
‎PTT-20250221-WA0012.opus (arquivo anexado),Ferramentas e Plataformas,
Eu copiei o arquivo md e colei na pasta (cofre) do Obsidian,Ferramentas e Plataformas,Obsidian
‎PTT-20250221-WA0013.opus (arquivo anexado),Ferramentas e Plataformas,
‎PTT-20250221-WA0014.opus (arquivo anexado),Ferramentas e Plataformas,
"Conseguiu, @5521991319888 ?",Ferramentas e Plataformas,
Vou tentar!,Ferramentas e Plataformas,
‎PTT-20250221-WA0015.opus (arquivo anexado),Ferramentas e Plataformas,
Estou respondendo essas mensagens para atualizar o pesssoal sobre o que estamos falando,Ferramentas e Plataformas,
consegui fazer um desavio aqui.  olha a resposta  https://share.note.sx/xmi1tnrq,Ferramentas e Plataformas,
Olha que legal.  A perplexity nos achou,Ferramentas e Plataformas,LLMs e Modelos
👏👏👏,Ferramentas e Plataformas,
‎IMG-20250222-WA0010.jpg (arquivo anexado),Ferramentas e Plataformas,
Quanto avanço!,Ferramentas e Plataformas,
"Fantástico. Não há limites. Parabéns, @5521969191621 .",Ferramentas e Plataformas,
Eu fiz essa ai porque era o mais difícil pra testar a euristica de Taleb.  Mas temos uma sessão toda dedicaada aos iniciantes.,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"Notem que nesse ai falta criar os arquivos.  Podemos começar avaliando o primeiro lá em cima para melhorar, por exemplo, a citação das fontes.  Tem uns links inválidos. O que mostra que o modelo alucinou.  Problema do Gemini.  O deepseek não estava pesquisando. Mais ai eu descobri como instalar o deepresarch localmente.  Já pensaram, ter o seu perplexity particular?",Ferramentas e Plataformas,Zotero
Ontem eu comentei com amigos os trabalhos que você tem desenvolvido.,Ferramentas e Plataformas,
‎STK-20230607-WA0003.webp (arquivo anexado),Ferramentas e Plataformas,
‎VID-20250222-WA0012.mp4 (arquivo anexado),Ferramentas e Plataformas,
Eu consegui baixar o DeepSeek com o Ollama.,Ferramentas e Plataformas,LLMs e Modelos
tem que ver o tamanho do modelo e o da tua vram.  estava fazendo isso ontem,Conceitos Técnicos e Fundamentos de IA,Hardware e Infraestrutura
bora documentar a experiênncia.  Faz ai no teu valut,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
não liga pra beleza,Conceitos Técnicos e Fundamentos de IA,
‎STK-20250107-WA0024.webp (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
vo udar uma volta,Conceitos Técnicos e Fundamentos de IA,
Só para lembrar onde essa conversa começou,Conceitos Técnicos e Fundamentos de IA,
Já pensou ter um perplexity? Seria fantástico!!!,Ferramentas e Plataformas,LLMs e Modelos
"@5521969191621 comecei a refletir aqui, começamos o grupo com uma live e algumas pessoas, agora já estamos bem avançados, estamos vendo alguma coisa surgir. Legal!",Ferramentas e Plataformas,
É verdade. O rítmo das mudanças  é muito rápido.  Acredito que estratégia é aprender um pouco a cada dia.  O pessoal está chegando mesmoo.,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
‎IMG-20250223-WA0027.jpg (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,
vou tentar com outro modelo e retorno com o resultado da pesquisa.,Conceitos Técnicos e Fundamentos de IA,
"Opa, aguardamos",Conceitos Técnicos e Fundamentos de IA,
estou criando um prompt para analisar os problemas com a questão da teoria da actio nata,Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs
"usei outro modelo, o Qwen da Alibaba  que tem batido o o3 e o Deepseek R1",Ferramentas e Plataformas,LLMs e Modelos
E aqui está o link do novo desafio.  Quem quiser tentar com outras ferramentas o prompt gerado ficou assim> https://share.note.sx/dw5v72nu,Ferramentas e Plataformas,Geral
‎IMG-20250223-WA0028.jpg (arquivo anexado),Ferramentas e Plataformas,
"me parece que tem um errino em algum ponto de umas das bibliografias, vou atualizar aqui com a minha base de dados do zotero",Ferramentas e Plataformas,Zotero
‎STJ - 2019 - RECURSO ESPECIAL Nº 1.745.643 - MT (20170213622-4.pdf (arquivo anexado),Aplicações Jurídicas Práticas,Pesquisa Jurídica e Jurisprudencial
‎Relatório Zotero Actio Nata.html (arquivo anexado),Ferramentas e Plataformas,Zotero
é só baixar e abrir no browser,Ferramentas e Plataformas,
"Tem também uma obra seminal citada. VON SAVIGNY, Friedrich Karl. Sistema del derecho romano actual. [s.l.]: F. Góngora y Compañía, 1879. Disponível em: <https://books.google.com/books?hl=en&lr=&id=_CQUAAAAYAAJ&oi=fnd&pg=PA79&dq=SAVIGNY,+Friedrich+Karl+Von.+Sistema+del+Derecho+Romano+Actual.+1879,+Tomo+IV,&ots=7jgxgJgqky&sig=uVS45iDFWx67vutzpQCbA-ktKIw>. Acesso em: 26 jul. 2024.",Interdisciplinaridade e Fundamentos Teóricos,Informática e Tecnologia
‎IMG-20250224-WA0000.jpg (arquivo anexado),Interdisciplinaridade e Fundamentos Teóricos,
‎IMG-20250224-WA0001.jpg (arquivo anexado),Interdisciplinaridade e Fundamentos Teóricos,
